id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
549887,NIG-2024-1-640-35,2024,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,6,"""Agence France Presse,2024-11-01,Chad's army accused of killing scores of fishermen in Nigeria"";""RFI.fr,2024-11-02,Tchad: l'armee accusee d'avoir tue des dizaines de pecheurs du Borno lors des represailles contre Boko Haram"";""Jeune Afrique.com,2024-11-02,Au Tchad, le gouvernement dément « fermement » avoir visé des civils dans son opération contre Boko Haram"";""Barron's,2024-11-02,Chad Denies Anti-jihadist Operation Hit Civilians"";""News Central,2024-11-02,Chad Rejects Claims of Civilian Deaths in Airstrike on Lake Chad"";""Jeune Afrique.com,2024-11-02,Au Tchad, le gouvernement dément « fermement » avoir visé des civils dans son opération contre Boko Haram""",Agence France Presse;RFI.fr;Jeune Afrique.com;Barron's;News Central;Jeune Afrique.com,2024-11-01;2024-11-02;2024-11-02;2024-11-02;2024-11-02;2024-11-02,"Chad's army accused of killing scores of fishermen in Nigeria;Tchad: l'armee accusee d'avoir tue des dizaines de pecheurs du Borno lors des represailles contre Boko Haram;Au Tchad, le gouvernement dément « fermement » avoir visé des civils dans son opération contre Boko Haram;Chad Denies Anti-jihadist Operation Hit Civilians;Chad Rejects Claims of Civilian Deaths in Airstrike on Lake Chad;Au Tchad, le gouvernement dément « fermement » avoir visé des civils dans son opération contre Boko Haram",local sources; eyewitnesses,3,Kukawa lga,Tilma island in Kukawa district on the Nigerian side of Lake Chad,Borno state,Kukawa lga,12.963090,13.608990,POINT (13.60899 12.96309),147988,Nigeria,NGA,475,Africa,1,1,2024-10-31 00:00:00.000,2024-10-31 00:00:00.000,0,0,0,3,3,40,3,475,
381503,AFG-2021-3-973-16,2021,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,1,"""The Punch,2021-01-09,Boko Haram kills commuters, seizes 11 vehicles in Borno""",The Punch,2021-01-09,"Boko Haram kills commuters, seizes 11 vehicles in Borno",eyewitnesses,1,Kingarwa village,"at Aligambori, near Gajiram, along the Maiduguri-Monguno Road in Borno State",Borno state,Guzamala lga,12.660130,13.369670,POINT (13.36967 12.66013),147987,Nigeria,NGA,475,Africa,1,1,2021-01-06 00:00:00.000,2021-01-06 00:00:00.000,0,0,2,0,2,2,2,,
390304,AFG-2021-3-973-606,2021,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,1,"""BBC Monitoring Africa,2021-03-15,Nigeria's Boko Haram 'kills 22 herders' in north-east attack""",BBC Monitoring Africa,2021-03-15,Nigeria's Boko Haram 'kills 22 herders' in north-east attack,a local,3,Monguno lga,in Monguno region,Borno state,Monguno lga,12.578520,13.617270,POINT (13.61727 12.57852),147988,Nigeria,NGA,475,Africa,1,2,2021-03-13 00:00:00.000,2021-03-14 00:00:00.000,0,0,22,0,22,22,22,,
466930,AFG-2023-3-973-60,2023,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,1,"""Zagazola,2023-03-07,Just in: ISWAP terrorists block """,Zagazola,2023-03-07,Just in: ISWAP terrorists block,Zagazola,5,Gajiram-Monguno road,Along Gajiram-  Monguno,Borno state,,12.652114,13.362951,POINT (13.362951 12.652114),147987,Nigeria,NGA,475,Africa,1,1,2023-03-07 00:00:00.000,2023-03-07 00:00:00.000,0,0,1,0,1,1,1,,
483504,AFG-2023-3-973-264,2023,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,6,"""Crisis Watch,2023-08-03,Nigeria"";""Zagazola,2023-07-26,ISWAP targets Fulani herdsmen, kills 21 in Borno"";""Cronicles of lake chad,2023-08-01,Lake Chad Basin Weekly Security Update 24-30 July 2023"";""Agence France Presse,2023-07-27,Jihadists kill 32 in northeast Nigeria attacks"";""Reuters News,2023-07-26,Suspected ISWAP militants kill 25 in Nigeria's Borno state, residents say"";""Vanguard,2023-07-26,Cattle Rearing: Terrorists kill 21 Fulani herdsmen for ignoring their warning in Borno""",Crisis Watch;Zagazola;Cronicles of lake chad;Agence France Presse;Reuters News;Vanguard,2023-08-03;2023-07-26;2023-08-01;2023-07-27;2023-07-26;2023-07-26,"Nigeria;ISWAP targets Fulani herdsmen, kills 21 in Borno;Lake Chad Basin Weekly Security Update 24-30 July 2023;Jihadists kill 32 in northeast Nigeria attacks;Suspected ISWAP militants kill 25 in Nigeria's Borno state, residents say;Cattle Rearing: Terrorists kill 21 Fulani herdsmen for ignoring their warning in Borno","Zagazola, Habibu Ardo, a herder in the area, Bakura Mustapha, a local vigilante",2,Gudumbali town,"Kukawa, Gudumbali forest",Borno state,Guzamala lga,12.942840,13.178310,POINT (13.17831 12.94284),147987,Nigeria,NGA,475,Africa,1,1,2023-07-25 00:00:00.000,2023-07-25 00:00:00.000,0,0,25,0,25,25,18,,
511022,AFG-2024-3-973-33,2024,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,1,"""Lake Chad Basin Weekly Security Update,2024-02-09,Lake Chad Basin Weekly Security Update 22 January-4 February 2024""",Lake Chad Basin Weekly Security Update,2024-02-09,Lake Chad Basin Weekly Security Update 22 January-4 February 2024,ISWAP claim,2,Kukawa town,"Near Kukawa, Kukawa LGA, Borno State",Borno state,Kukawa lga,12.924750,13.566170,POINT (13.56617 12.92475),147988,Nigeria,NGA,475,Africa,1,1,2024-01-26 00:00:00.000,2024-01-26 00:00:00.000,0,0,0,0,0,1,0,,
511023,AFG-2024-3-973-34,2024,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,1,"""Lake Chad Basin Weekly Security Update,2024-02-09,Lake Chad Basin Weekly Security Update 22 January-4 February 2024""",Lake Chad Basin Weekly Security Update,2024-02-09,Lake Chad Basin Weekly Security Update 22 January-4 February 2024,ISWAP claim,2,Kukawa town,"Near Kukawa, Kukawa LGA, Borno State",Borno state,Kukawa lga,12.924750,13.566170,POINT (13.56617 12.92475),147988,Nigeria,NGA,475,Africa,1,1,2024-01-28 00:00:00.000,2024-01-28 00:00:00.000,0,0,0,0,0,2,0,,
524863,AFG-2024-3-973-156,2024,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,4,"""Wamaps ,2024-05-30,#Nigeria "";""AllAfrica,2024-05-31,Residents Flee As ISWAP Terrorists Issue Ultimatum"";""Agence France Presse,2024-05-29,Nigeria jihadists kill around 30 in reprisal attacks"";""AllAfrica,2024-05-30,31 Killed, 40 Missing As Terrorists Attack Fishermen in Borno""",Wamaps ;AllAfrica;Agence France Presse;AllAfrica,2024-05-30;2024-05-31;2024-05-29;2024-05-30,"#Nigeria ;Residents Flee As ISWAP Terrorists Issue Ultimatum;Nigeria jihadists kill around 30 in reprisal attacks;31 Killed, 40 Missing As Terrorists Attack Fishermen in Borno","National President Fish Dealers Association of Nigeria, Mohammed Laminu",1,Kukawa town,Kukawa,Borno state,Kukawa lga,12.924750,13.566170,POINT (13.56617 12.92475),147988,Nigeria,NGA,475,Africa,1,1,2024-05-27 00:00:00.000,2024-05-27 00:00:00.000,0,0,36,0,36,36,36,,
544494,AFG-2024-3-973-267,2024,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,1,"""@TomaszRolbiecki,2024-09-14,In a very rare event""",@TomaszRolbiecki,2024-09-14,In a very rare event,ISWAP claim (through TR),1,Limbori village,"Limberi, Abadam lga, Borno",Borno state,Abadam lga,13.332820,13.127430,POINT (13.12743 13.33282),148707,Nigeria,NGA,475,Africa,1,2,2024-09-12 00:00:00.000,2024-09-14 00:00:00.000,0,0,0,0,0,2,0,,
555366,AFG-2024-3-973-307,2024,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,1,"""Daily Trust,2024-11-12,Boko Haram kills 3, kidnaps fishermen in Borno""",Daily Trust,2024-11-12,"Boko Haram kills 3, kidnaps fishermen in Borno","local source, CJTF source",2,Cross Kauwa village,"village of Malamyawri, Cross Kawu ward, near Lake Chad",Borno state,Kukawa lga,12.945150,13.672320,POINT (13.67232 12.94515),147988,Nigeria,NGA,475,Africa,1,1,2024-11-10 00:00:00.000,2024-11-10 00:00:00.000,0,0,3,0,3,3,0,,
