id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
41528,NIG-2012-1-793-156,2012,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,-1,"Nigeria: Domestic Media Monitoring Report, 22 July  - 4 August 2012, citing The Guardian, influential, Lagos-based privately-owned national daily, on 31 July, AFP 1/8-12, ""Nigeria Islamists killed at Chad border: military",,,,,1,Daban Masara village,Daban Masara border (crossing just north of Maiduguri) / Daban Mara border town with Chad,Borno state,Kukawa lga,12.803918,13.840996,POINT (13.840996 12.803918),147988,Nigeria,NGA,475,Africa,1,1,2012-07-30 00:00:00.000,2012-07-30 00:00:00.000,0,2,0,0,2,2,2,475,
45975,NIG-2013-1-793-30,2013,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,1,"""Agence France Presse,2013-03-03,Twenty Islamists killed in northeast Nigeria: military""",Agence France Presse,2013-03-03,Twenty Islamists killed in northeast Nigeria: military,,1,Monguno town,"Monguno town, Borno state",Borno state,Monguno lga,12.678630,13.607920,POINT (13.60792 12.67863),147988,Nigeria,NGA,475,Africa,1,1,2013-03-03 00:00:00.000,2013-03-03 00:00:00.000,0,20,0,0,20,20,20,475,
48465,NIG-2013-1-793-45,2013,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,9,"""Agence France Presse,2013-04-22,'Dozens' killed in Nigeria gun battles"";""Agence France Presse,2013-04-22,187 dead, 77 wounded in northern Nigeria clashes: Red Cross"";""Agence France Presse,2013-04-22,187 dead, 77 injured after fierce Nigeria clashes"";""All Africa,2013-04-23,Africa News Round Up April, Monday 22, 2013"";""All Africa,2013-04-23,Hundreds Killed in Baga - How Soldier's Death Sparked Violence Jonathan - Death Toll Grossly Exaggerated"";""Reuters News,2013-04-23,UPDATE 2-Nigeria gun battle was joint assault with Chad, Niger -sources"";""Reuters News,2013-04-27,Nigerian senator says 228 killed in gunfight with Islamists"";""Agence France Presse,2013-05-01,Nigeria fishing town paralysed by fear after slaughter"";""All Africa,2013-05-01,Satellite Imagery Shows 2,275 Houses Burnt in Baga, Human Rights Watch Says""",Agence France Presse;Agence France Presse;Agence France Presse;All Africa;All Africa;Reuters News;Reuters News;Agence France Presse;All Africa,2013-04-22;2013-04-22;2013-04-22;2013-04-23;2013-04-23;2013-04-23;2013-04-27;2013-05-01;2013-05-01,"'Dozens' killed in Nigeria gun battles;187 dead, 77 wounded in northern Nigeria clashes: Red Cross;187 dead, 77 injured after fierce Nigeria clashes;Africa News Round Up April, Monday 22, 2013;Hundreds Killed in Baga - How Soldier's Death Sparked Violence Jonathan - Death Toll Grossly Exaggerated;UPDATE 2-Nigeria gun battle was joint assault with Chad, Niger -sources;Nigerian senator says 228 killed in gunfight with Islamists;Nigeria fishing town paralysed by fear after slaughter;Satellite Imagery Shows 2,275 Houses Burnt in Baga, Human Rights Watch Says",Defence spokesman Olukolade; Lieutenant Colonel Sagir Musa;  Red Cross spokesman Nwakpa O. Nwakpa; local government official in Baga; residents; Defence spokesman Olukolade; Nigerian military source; Senator Maina Maaji Lawan,1,Baga village,"Baga village, Kukawa LGA, Borno state",Borno state,Kukawa lga,13.094660,13.823430,POINT (13.82343 13.09466),148708,Nigeria,NGA,475,Africa,2,2,2013-04-16 00:00:00.000,2013-04-17 00:00:00.000,1,0,0,182,183,228,37,475,
51594,NIG-2013-1-793-71,2013,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,2,"""Reuters News,2013-08-05,Clashes between Nigerian army, Boko Haram kill 35"";""All Africa,2013-08-13,Gunmen Kill 60 in Attacks On Borno Villages""",Reuters News;All Africa,2013-08-05;2013-08-13,"Clashes between Nigerian army, Boko Haram kill 35;Gunmen Kill 60 in Attacks On Borno Villages","military spokesman Sagir Musa; the JTF commander in the state, Major General Jah Ewansiah",1,Malam Fatori village,"Malam Fatori, Borno state",Borno state,Abadam lga,13.673400,13.338800,POINT (13.3388 13.6734),149427,Nigeria,NGA,475,Africa,1,1,2013-08-04 00:00:00.000,2013-08-04 00:00:00.000,12,15,0,0,27,27,27,475,
60790,NIG-2013-1-793-85,2013,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,2,"""Agence France Presse,2013-09-18,Nigerian army claims raid kills 150 Islamists"";""Agence France Presse,2013-09-18,Nigerian army claims raid kills 150 Islamists""",Agence France Presse;Agence France Presse,2013-09-18;2013-09-18,Nigerian army claims raid kills 150 Islamists;Nigerian army claims raid kills 150 Islamists,army spokesman Ibrahim Attahiru,3,Nganzai lga,"Kasiya forest (70 kilometres northeast of Maiduguri), northeastern Borno state",Borno state,Nganzai lga,12.508840,13.104140,POINT (13.10414 12.50884),147987,Nigeria,NGA,475,Africa,1,1,2013-09-12 00:00:00.000,2013-09-12 00:00:00.000,16,150,0,0,166,166,166,475,
64388,NIG-2013-1-793-124,2013,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,2,"""All Africa,2013-12-31,63 Terrorists Killed in Alafa Forest, Lake Chad - DHQ"";""All Africa,2013-12-31,Nigerian Military Kills 63 Boko Haram Suspects in Separate Attacks - Spokesperson""",All Africa;All Africa,2013-12-31;2013-12-31,"63 Terrorists Killed in Alafa Forest, Lake Chad - DHQ;Nigerian Military Kills 63 Boko Haram Suspects in Separate Attacks - Spokesperson",Gen. Olukolade,5,Representation point for Borno part of Lake Chad,island on Lake Chad,Borno state,,13.151034,13.964249,POINT (13.964249 13.151034),148708,Nigeria,NGA,475,Africa,1,2,2013-12-28 00:00:00.000,2013-12-29 00:00:00.000,0,7,0,0,7,7,7,475,
149298,NIG-2014-1-793-130,2014,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,1,"""Nigeria Watch IBD003564,2014-08-16,Army vs Boko Haram , Borno""",Nigeria Watch IBD003564,2014-08-16,"Army vs Boko Haram , Borno",,3,Kukawa lga,Kakawa LGA,Borno state,Kukawa lga,12.963090,13.608990,POINT (13.60899 12.96309),147988,Nigeria,NGA,475,Africa,1,2,2014-08-13 00:00:00.000,2014-08-16 00:00:00.000,2,30,0,0,32,32,32,475,
156253,NIG-2014-1-793-179,2014,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,1,"""Nigeria Watch IBD004155,2014-10-25,Army vs Boko Haram , Borno""",Nigeria Watch IBD004155,2014-10-25,"Army vs Boko Haram , Borno",,1,Abadam village,Abadam town,Borno state,Abadam lga,13.616900,13.264380,POINT (13.26438 13.6169),149427,Nigeria,NGA,475,Africa,1,1,2014-10-25 00:00:00.000,2014-10-25 00:00:00.000,0,24,0,0,24,24,24,475,
155677,NIG-2014-1-793-149,2014,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,2,"""BBC Monitoring Africa,2014-10-29,Nigeria's Boko Haram sect kills three, sets police station ablaze in Borno State"";""All Africa,2014-10-30,Several Killed in Suspected Boko Haram Attack - LG Boss""",BBC Monitoring Africa;All Africa,2014-10-29;2014-10-30,"Nigeria's Boko Haram sect kills three, sets police station ablaze in Borno State;Several Killed in Suspected Boko Haram Attack - LG Boss",Residents,1,Kukawa town,Kukawa town,Borno state,Kukawa lga,12.924750,13.566170,POINT (13.56617 12.92475),147988,Nigeria,NGA,475,Africa,1,1,2014-10-27 00:00:00.000,2014-10-27 00:00:00.000,2,0,0,0,2,2,2,475,
155774,NIG-2014-1-793-156,2014,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,1,"""Agence France Presse,2014-11-06,Boko Haram attack in NE Nigeria kills 21: senator""",Agence France Presse,2014-11-06,Boko Haram attack in NE Nigeria kills 21: senator,Local residents,1,Malam Fatori village,Malam Fatori village,Borno state,Abadam lga,13.673400,13.338800,POINT (13.3388 13.6734),149427,Nigeria,NGA,475,Africa,1,1,2014-11-05 00:00:00.000,2014-11-05 00:00:00.000,0,24,0,0,24,24,24,475,
