ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity,Year
3591,0,Albania,,20.0828,41.4664,60173.47,2010-01-04,2010-01-13,0,0,1500,Heavy Rain,1.5,2010
3592,0,Panama,,-82.6444,9.11544,23337.85,2010-01-11,2010-01-13,0,0,1000,Heavy Rain,1.0,2010
3593,FL-2010-000008-BOL,Bolivia,0,-63.6012,-17.8267,102220.84,2010-01-01,2010-01-13,0,5,4500,Heavy Rain,1.0,2010
3596,0,Brazil,0,-44.0681,-22.9804,55636.33,2010-01-10,2010-01-28,0,72,6000,Heavy Rain,1.5,2010
3598,0,Mozambique,,31.6455,-25.593,72703.82,2010-01-25,2010-01-28,0,3,0,Heavy Rain,1.0,2010
3599,0,South Africa,0,28.6962,-24.746,87777.03,2010-01-27,2010-01-29,0,0,1400,Heavy Rain,1.0,2010
3600,0,New Zealand,0,178.132,-37.717,44179.41,2010-01-29,2010-02-02,0,0,0,Heavy Rain,1.0,2010
3601,0,Bolivia,0,-66.4995,-17.4593,292808.94,2010-01-27,2010-02-05,0,0,0,Heavy Rain,1.0,2010
3602,0,Mexico,0,-99.0036,19.9433,122621.4,2010-01-26,2010-02-13,0,41,20000,Heavy Rain,1.0,2010
3603,0,Australia,0,145.18,-20.174,188865.22,2010-02-05,2010-02-07,0,2,0,Heavy Rain,1.0,2010
3604,FL-2010-000021-AFG,Afghanistan,0,65.1089,32.547,105873.35,2010-02-05,2010-02-10,0,20,200,Heavy Rain,2.0,2010
3607,0,Bulgaria,,27.3388,41.1603,87346.16,2010-02-13,2010-02-20,0,0,0,Heavy Rain,1.0,2010
3608,0,Australia,0,149.599,-32.4204,311949.24,2010-02-13,2010-02-16,0,0,0,Heavy Rain,2.0,2010
3611,0,Spain,0,-4.04265,38.9763,98474.34,2010-02-23,2010-02-24,0,32,1200,Heavy Rain,1.0,2010
3613,FL-2010-000037-HTI,Haiti,0,-73.7657,18.4176,3836.32,2010-02-28,2010-03-02,0,13,0,Heavy Rain,1.0,2010
3614,FL-2010-000046-MOZ,Mozambique,0,34.2547,-19.9647,26372.46,2010-02-22,2010-03-28,0,2,130000,Heavy Rain,1.0,2010
3615,0,Australia,0,147.956,-26.2155,431681.63,2010-02-28,2010-03-17,0,0,0,Heavy Rain,2.0,2010
3616,FL-2010-000038-ZMB,Zambia,,27.7369,-16.0918,85511.58,2010-03-01,2010-03-17,0,0,115,Heavy Rain,1.0,2010
3617,FL-2010-000041-SOM,Ethiopia,,45.4942,9.19708,104208.15,2010-03-01,2010-03-11,0,0,16000,Heavy Rain,1.0,2010
3618,FL-2010-000042-SRB,Serbia,,21.1442,44.4668,46896.64,2010-03-01,2010-03-02,0,0,4000,Heavy Rain,1.0,2010
3619,0,Peru,0,-73.3575,-11.8464,57889.66,2010-03-02,2010-03-04,0,7,20,Heavy Rain,1.0,2010
3620,0,Uganda,0,31.0638,1.13485,75196.57,2010-03-07,2010-03-12,0,0,20000,Heavy Rain,1.0,2010
3622,0,USA,0,-86.3795,32.8939,48982.93,2010-03-10,2010-03-17,0,0,0,Heavy Rain,1.0,2010
3623,FL-2010-000049-AGO,Angola,0,17.2457,-16.1122,274099.2,2010-03-01,2010-03-31,0,12,11500,Heavy Rain,1.0,2010
3629,0,USA,0,-74.873,39.4866,240301.51,2010-03-27,2010-03-31,0,0,0,Heavy Rain,2.0,2010
3631,0,Rwanda,0,29.6861,-1.74307,8862.8,2010-03-26,2010-03-31,0,4,0,Heavy Rain,1.0,2010
3633,FL-2010-000070-BGD,Bangladesh,0,89.5099,22.1528,7062.71,2010-03-27,2010-04-07,0,104,0,Heavy Rain,1.0,2010
3634,0,Somalia,0,45.7901,2.82383,50278.2,2010-04-12,2010-04-13,0,0,200,Heavy Rain,1.0,2010
3635,0,Serbia,0,21.7157,43.4667,13989.57,2010-04-20,2010-04-22,0,0,0,Heavy Rain,1.0,2010
3637,0,Cuba,0,-75.3832,20.2623,10657.92,2010-04-17,2010-04-21,0,0,84,Heavy Rain,1.0,2010
3636,0,India,0,91.8623,26.3166,13472.46,2010-04-18,2010-04-21,0,0,300,Heavy Rain,2.0,2010
3638,0,China,0,111.13,25.1481,19903.73,2010-04-20,2010-04-21,0,0,0,Heavy Rain,1.0,2010
3639,FL-2010-000077-NAM,Namibia,,23.2312,-18.6942,64627.58,2010-04-16,2010-04-21,0,0,11000,Heavy Rain,1.0,2010
3640,0,Indonesia,0,113.972,-2.68196,103901.84,2010-04-16,2010-05-02,0,0,0,Heavy Rain,1.0,2010
3641,0,USA,0,-87.2776,36.0678,79123.97,2010-05-01,2010-05-04,0,30,8000,Heavy Rain,1.0,2010
3645,0,Indonesia,0,121.994,-3.87599,24518.72,2010-05-08,2010-05-10,0,0,0,Heavy Rain,1.0,2010
3646,0,Kenya,0,36.0032,1.50224,196057.68,2010-05-08,2010-05-24,0,100,70000,Heavy Rain,1.5,2010
3647,0,Pakistan,0,73.3855,35.5882,6706.99,2010-05-08,2010-05-23,0,0,0,Heavy Rain,1.0,2010
3648,"FF-2010-000094-CZE,",Czech Republic,,19.644,49.7736,121758.8,2010-05-15,2010-05-24,0,12,0,Heavy Rain,2.0,2010
3649,FL-2010-000092-LKA,Sri Lanka,0,80.5904,6.83965,19207.85,2010-05-08,2010-05-23,0,20,75000,Heavy Rain,1.0,2010
3652,TC-2010-000097-IND,India,0,79.4844,15.2182,63171.41,2010-05-18,2010-05-24,0,27,50000,Heavy rain,1.0,2010
3654,0,New Zealand,0,169.918,-45.1567,25183.14,2010-05-25,2010-05-31,0,0,0,Heavy Rain,2.0,2010
3655,0,Canada,0,-97.7891,49.8757,25787.99,2010-05-29,2010-05-31,0,0,0,Heavy Rain,1.0,2010
3657,0,Hungary,,19.7971,49.6716,174970.1,2010-05-29,2010-06-11,0,0,3000,Heavy Rain,1.0,2010
3667,FL-2010-000120-BRA,Brazil,0,-37.7816,-6.35589,320129.49,2010-06-22,2010-06-30,0,50,150000,Heavy Rain,2.0,2010
3663,0,Ghana,0,-0.981038,7.93162,150908.11,2010-06-22,2010-06-26,0,30,0,Heavy Rain,1.0,2010
3664,0,Romania,,23.1853,46.0793,56733.12,2010-06-22,2010-07-12,0,23,17500,Heavy Rain,2.0,2010
3665,0,Bosnia and Herzegovina,0,17.705,43.9872,28641.6,2010-06-22,2010-06-26,0,46,0,Heavy Rain,1.0,2010
3672,FL-2010-000129-UKR,Ukraine,0,24.7926,48.5898,34504.42,2010-06-27,2010-07-02,0,2,0,Heavy Rain,1.5,2010
3673,0,Canada,0,-103.836,51.8657,86589.82,2010-07-02,2010-07-06,0,0,0,Heavy Rain,1.5,2010
3675,FL-2010-000130-MDA,Moldova,,27.9665,46.8243,12206.49,2010-07-05,2010-07-07,0,0,2000,Heavy Rain,1.0,2010
3683,0,Sudan,0,36.6717,18.7493,100438.85,2010-07-10,2010-08-11,0,33,10000,Heavy Rain,1.5,2010
3690,0,Nepal,0,84.7848,28.3526,132628.58,2010-07-25,2010-07-25,0,12,0,Heavy Rain,1.0,2010
3691,0,Indonesia,0,114.972,-2.14107,106460.15,2010-07-23,2010-07-25,0,21,15000,Heavy Rain,1.0,2010
3695,FL-2010-000145-BFA,Burkino Faso,0,-1.38925,12.9425,160792.23,2010-07-21,2010-07-25,0,14,20000,Heavy Rain,1.0,2010
3705,0,North Korea,,124.965,40.365,305.538,2010-08-26,2010-09-01,News,0,35000,Heavy Rain,1.5,2010
3708,0,Australia,0,143.325,-38.07,7093.05,2010-09-01,2010-09-15,News,0,10000,Heavy Rain,2.0,2010
3714,0,Chad,0,14.625,11.385,38021.99,2010-08-15,2010-09-17,News,24,70000,Heavy Rain,1.5,2010
3720,0,Canada,0,-126.67,50.9015,45780.38,2010-09-25,2010-09-28,News,0,720,Heavy Rain,2.0,2010
3722,0,USA,0,-90.18,44.01,3873.19,2010-09-22,2010-09-30,News,0,0,Heavy Rain,2.0,2010
3724,0,Uganda,0,32.715,1.305,3303.97,2010-09-26,2010-09-30,News,0,600,Heavy Rain,1.5,2010
3730,0,Benin,,5.31,4.86,26788.65,2010-09-12,2010-11-15,News,272,2000,Heavy Rain,1.5,2010
3731,0,Australia,0,151.02,-27.36,4896.01,2010-10-09,2010-10-12,News,0,100,Heavy Rain,1.5,2010
3734,0,Australia,0,144.27,-30.555,21254.7,2010-10-15,2010-10-19,News,0,0,Heavy Rain,1.0,2010
3737,0,Thailand,0,102.195,15.03,3873.76,2010-10-10,2010-11-15,News,206,0,Heavy Rain,2.0,2010
3739,0,Viet Nam,0,108.92,12.5176,33659.75,2010-10-30,2010-11-05,News,18,35000,Heavy Rain,1.0,2010
3741,0,Chad,0,15.21,11.205,8249.26,2010-10-01,2010-11-05,News,0,0,Heavy Rain,1.5,2010
3743,0,Malaysia,0,101.922,5.61628,44792.72,2010-11-01,2010-11-05,News,0,40000,Heavy Rain,1.0,2010
3744,0,Indonesia,0,121.614,-8.67221,23685.01,2010-11-02,2010-11-05,News,15,0,Heavy Rain,1.0,2010
3746,0,Italy,0,11.1382,45.1256,18725.85,2010-11-08,2010-11-11,News,0,300,Heavy Rain,2.0,2010
3747,0,Ghana,0,-0.809999,8.28,4567.71,2010-11-05,2010-11-11,News,0,2600,Heavy Rain,1.5,2010
3748,0,Belgium,0,4.35761,50.8534,8458.94,2010-11-12,2010-11-15,News,3,0,Heavy Rain,1.5,2010
3749,0,United Kingdom,0,-3.5777,50.7875,8727.83,2010-11-16,2010-11-20,News,0,0,Heavy Rain,1.5,2010
3750,0,Columbia,0,-72.9604,4.11351,1140146.22,2010-11-15,2010-12-20,News,250,800000,Heavy Rain,1.5,2010
3755,FL-2010-000252-SRB,Serbia,Montenegro,20.7292,44.0151,101737.38,2010-12-01,2010-12-17,News,3,30000,Heavy Rain,2.0,2010
3752,0,Australia,0,147.388,-29.8384,832001.36,2010-11-27,2010-12-20,News,5,3000,Heavy Rain,2.0,2010
3758,0,Spain,0,-5.86579,37.811,22049.53,2010-12-06,2010-12-10,News,0,30,Heavy Rain,1.0,2010
3760,0,Ukraine,,23.3257,48.5418,23546.82,2010-12-13,2010-12-17,News,0,4000,Heavy Rain,1.0,2010
3762,0,USA,,-120.733,38.8497,355567.84,2010-12-19,2010-12-28,News,0,1000,Heavy Rain,1.5,2010
3763,0,Australia,,115.135,-24.6815,175962.13,2010-12-17,2010-12-28,News,0,0,Heavy Rain,1.5,2010
3765,0,Philippines,,125.566,8.13264,10773.79,2011-01-01,2011-01-18,News,53,10000,Heavy Rain,2.0,2011
3766,FL-2011-000002- BRA,Brazil,,-43.449,-18.7387,587384.59,2011-01-01,2011-01-18,News,665,100000,Heavy Rain,2.0,2011
3767,FL-2011-000013-MOZ,South Africa,Mozambique,28.407,-31.0553,134636.07,2011-01-01,2011-02-04,News,50,300,Heavy Rain,1.5,2011
3769,0,Germany,,7.63154,50.3468,17419.69,2011-01-07,2011-01-10,News,0,0,Heavy Rain,1.0,2011
3770,0,Indonesia,,108.26,-6.8436,10402.99,2011-01-16,2011-01-18,News,0,12000,Heavy Rain,1.0,2011
3774,FL-2011-000021-MYS,Malaysia,,104.669,-4.05208,62167.77,2011-01-28,2011-01-31,News,2,20000,Heavy Rain,1.5,2011
3776,,Sri Lanka,,80.5342,8.51316,19891.49,2011-02-01,2011-02-14,News,14,250000,Heavy Rain,1.5,2011
3778,FL-2011-000019-LSO,Lesotho,,28.0783,-29.5025,19634.43,2011-02-01,2011-02-16,News,26,5000,Heavy Rain,1.0,2011
3780,FL-2011-000021-MYS,Malaysia,,102.77,2.65259,36529.58,2011-02-01,2011-02-16,News,0,24000,Heavy Rain,1.0,2011
3790,,Brazil,,-48.1626,-23.783,124445.34,2011-03-12,2011-03-18,News,10,31000,Heavy Rain,1.5,2011
3791,,Namibia,,22.8815,-18.0384,47808.61,2011-03-01,2011-03-18,News,0,4000,Heavy Rain,1.0,2011
3792,,Australia,,122.73,-18.939,114051.18,2011-03-14,2011-03-18,News,0,217,Heavy Rain,2.0,2011
3795,,Thailand,,99.277,8.66649,33575.43,2011-03-23,2011-04-10,News,59,84000,Heavy Rain,2.0,2011
3796,,Indonesia,,98.9728,3.32971,23979.38,2011-03-31,2011-04-01,News,0,400,Heavy Rain,1.0,2011
3797,,Malaysia,,100.482,6.08029,31580.94,2011-03-31,2011-04-01,News,0,4230,Heavy Rain,1.0,2011
3798,,Namibia,Angola,20.642,-18.1881,102874.48,2011-03-15,2011-04-19,News,62,10000,Heavy Rain,1.5,2011
3803,,Tanzania,,37.5593,-6.64778,137262.92,2011-04-09,2011-05-19,News,8,9000,Heavy Rain,1.5,2011
3804,,Syria,,41.5757,36.8808,7088.55,2011-04-23,2011-04-25,News,5,0,Heavy Rain,1.0,2011
3806,,Columbia,,-73.2916,3.72167,270433.59,2011-04-01,2011-05-19,News,0,29000,Heavy Rain,1.0,2011
3809,,USA,,-90.8266,34.0959,239421.33,2011-05-01,2011-06-09,News,1,25000,Heavy Rain,2.0,2011
3812,,Canada,USA,-73.0141,45.6264,5274.09,2011-05-04,2011-06-09,News,0,1300,Heavy Rain,2.0,2011
3817,,Haiti,Dominican Republic,-71.9966,18.5965,1115.2,2011-06-04,2011-06-13,News,23,250,Heavy Rain,1.0,2011
3818,,Algeria,,2.8095,32.7048,191002.27,2011-06-03,2011-06-06,News,4,0,Heavy Rain,1.0,2011
3819,,Canada,,-96.8541,52.2558,5634.34,2011-06-01,2011-07-06,News,0,700,Heavy Rain,1.0,2011
3820,,Philippines,,125.208,8.30634,71700.83,2011-06-05,2011-06-21,News,15,15000,Heavy Rain,1.5,2011
3822,,Columbia,,-74.1581,5.69693,236086.96,2011-06-02,2011-06-13,News,464,0,Heavy Rain,1.5,2011
3824,,Australia,,152.081,-29.8414,98203.33,2011-06-11,2011-06-21,News,0,2000,Heavy Rain,1.0,2011
3828,,China,,102.561,36.9861,115468.68,2011-06-15,2011-06-21,News,0,2000,Heavy Rain,1.5,2011
3829,,Ivory Coast,,-3.23691,5.96536,14448.97,2011-06-15,2011-06-21,News,0,500,Heavy Rain,1.0,2011
3830,,Philippines,,126.05,7.39811,6361.93,2011-06-28,2011-06-29,News,25,0,Heavy Rain,1.5,2011
3831,,Russia,,134.953,48.8518,189593.05,2011-06-15,2011-06-29,News,0,120,Heavy Rain,1.0,2011
3832,,USA,Canada,-101.306,48.3406,16000.97,2011-06-20,2011-07-06,News,0,16000,Heavy Rain,2.0,2011
